task,points,cost,memory,params,status,correctness,note
task105,16.023738,7913,7833,80,ok,266/266,
task105,16.023738,7913,7833,80,ok,266/266,
task106,16.621839,4351,4235,116,ok,266/266,
task106,16.621839,4351,4235,116,ok,266/266,
task107,13.853843,69297,55527,13770,ok,266/266,
task107,13.853843,69297,55527,13770,ok,266/266,
task108,14.956142,23014,23000,14,ok,266/266,
task108,14.956142,23014,23000,14,ok,266/266,
task109,15.431915,14301,13373,928,ok,266/266,
task109,15.431915,14301,13373,928,ok,266/266,
task110,11.368412,832000,831841,159,ok,266/266,
task110,11.368412,832000,831841,159,ok,266/266,
task110_dynamic_xy,0.000000,832000,831841,159,wrong,no task JSON,no task JSON
task110_dynamic_yx,0.000000,832000,831841,159,wrong,no task JSON,no task JSON
task110_dynamic_yxy,0.000000,1186119,1185960,159,wrong,no task JSON,no task JSON
task111,18.108374,984,968,16,ok,265/265,
task111,18.108374,984,968,16,ok,265/265,
task113,21.598803,30,0,30,ok,265/265,
task113,21.598803,30,0,30,ok,265/265,
task114,17.113543,2661,2622,39,ok,266/266,
task114,17.113543,2661,2622,39,ok,266/266,
task115,15.533004,12926,12815,111,ok,266/266,
task115,15.533004,12926,12815,111,ok,266/266,
task116,21.598803,30,0,30,ok,267/267,
task116,21.598803,30,0,30,ok,267/267,
task117,11.977167,452631,438694,13937,ok,265/265,
task117,11.977167,452631,438694,13937,ok,265/265,
task120,14.562449,34117,34018,99,ok,266/266,
task120,14.562449,34117,34018,99,ok,266/266,
task121,0.000000,,,39,invalid,266/266,network performance could not be measured
task121,15.289673,16487,16432,55,ok,266/266,
task121,15.573500,12413,12365,48,ok,266/266,
task121,15.626096,11777,11729,48,ok,266/266,
task121,15.532849,12928,12872,56,ok,266/266,
task121,14.289880,44807,44760,47,ok,266/266,
task121,15.626096,11777,11729,48,ok,266/266,
task121,15.626096,11777,11729,48,ok,266/266,
task122,14.582612,33436,33426,10,ok,266/266,
task122,14.582612,33436,33426,10,ok,266/266,
task123,16.400121,5431,5210,221,ok,265/265,
task123,16.400121,5431,5210,221,ok,265/265,
task124,14.848052,25641,24985,656,ok,267/267,
task124,14.848052,25641,24985,656,ok,267/267,
task125,14.938953,23413,22950,463,ok,265/265,
task125,14.938953,23413,22950,463,ok,265/265,
task127,16.886873,3338,3218,120,ok,267/267,
task127,16.886873,3338,3218,120,ok,267/267,
task127_center_gather,0.000000,3653,3562,91,wrong,no task JSON,no task JSON
task127_center_slices,0.000000,3338,3218,120,wrong,no task JSON,no task JSON
task127_segment_reduce,0.000000,3626,3506,120,wrong,no task JSON,no task JSON
task128,15.326114,15897,15750,147,ok,266/266,
task128,15.326114,15897,15750,147,ok,266/266,
task129,18.879703,455,448,7,ok,265/265,
task129,18.879703,455,448,7,ok,265/265,
task130,16.559040,4633,4599,34,ok,265/265,
task130,16.559040,4633,4599,34,ok,265/265,
task131,13.861259,68785,67725,1060,ok,266/266,
task131,13.861259,68785,67725,1060,ok,266/266,
task132,14.652340,31184,31032,152,ok,267/267,
task132,14.652340,31184,31032,152,ok,267/267,
task133,9.415579,5864462,5542273,322189,ok,267/267,
task133,9.415579,5864462,5542273,322189,ok,267/267,
task134,12.898888,180072,179903,169,ok,266/266,
task134,12.898888,180072,179903,169,ok,266/266,
task135,19.097367,366,360,6,ok,266/266,
task135,19.097367,366,360,6,ok,266/266,
task136,15.539602,12841,12740,101,ok,266/266,
task136,15.539602,12841,12740,101,ok,266/266,
task137,13.508789,97852,97767,85,ok,266/266,
task137,13.508789,97852,97767,85,ok,266/266,
task138,13.095553,147923,146016,1907,ok,266/266,
task138,13.095553,147923,146016,1907,ok,266/266,
task139,17.358916,2082,1601,481,ok,265/265,
task139,17.358916,2082,1601,481,ok,265/265,
task140,19.091917,368,360,8,ok,265/265,
task140,19.091917,368,360,8,ok,265/265,
task141,15.200430,18026,17960,66,ok,265/265,
task141,15.200430,18026,17960,66,ok,265/265,
task142,17.095665,2709,2700,9,ok,266/266,
task142,17.095665,2709,2700,9,ok,266/266,
task143,12.544247,256723,240209,16514,ok,266/266,
task143,12.544247,256723,240209,16514,ok,266/266,
task144,18.253588,851,816,35,ok,267/267,
task144,18.253588,851,816,35,ok,267/267,
task145,13.860663,68826,45959,22867,ok,267/267,
task145,13.860663,68826,45959,22867,ok,267/267,
task146,17.587236,1657,1628,29,ok,267/267,
task146,17.587236,1657,1628,29,ok,267/267,
task147,17.231044,2366,2340,26,ok,267/267,
task147,17.231044,2366,2340,26,ok,267/267,
task148,14.745398,28413,28330,83,ok,266/266,
task148,14.745398,28413,28330,83,ok,266/266,
task149,18.920067,437,340,97,ok,267/267,
task149,18.920067,437,340,97,ok,267/267,
task150,18.280987,828,796,32,ok,266/266,
task150,18.280987,828,796,32,ok,266/266,
task151,16.713227,3971,3300,671,ok,266/266,
task151,16.713227,3971,3300,671,ok,266/266,
task152,17.199427,2442,2430,12,ok,267/267,
task152,17.199427,2442,2430,12,ok,267/267,
task153,15.507267,13263,2875,10388,ok,265/265,
task153,15.507267,13263,2875,10388,ok,265/265,
task154,14.888442,24626,24585,41,ok,266/266,
task154,14.888442,24626,24585,41,ok,266/266,
task155,18.636972,580,548,32,ok,266/266,
task155,18.636972,580,548,32,ok,266/266,
task156,16.399017,5437,5386,51,ok,265/265,
task156,16.399017,5437,5386,51,ok,265/265,
task157,14.730100,28851,24071,4780,ok,265/265,
task157,14.730100,28851,24071,4780,ok,265/265,
task158,11.390346,813950,712780,101170,ok,266/266,
task158,11.390346,813950,712780,101170,ok,266/266,
task159,13.200776,133149,125803,7346,ok,265/265,
task159,13.200776,133149,125803,7346,ok,265/265,
task160,16.654070,4213,4176,37,ok,265/265,
task160,16.654070,4213,4176,37,ok,265/265,
task161,14.154028,51327,51300,27,ok,266/266,
task161,14.154028,51327,51300,27,ok,266/266,
task162,14.275126,45473,45436,37,ok,266/266,
task162,14.275126,45473,45436,37,ok,266/266,
task163,15.459493,13912,13766,146,ok,267/267,
task163,15.459493,13912,13766,146,ok,267/267,
task164,21.598803,30,0,30,ok,267/267,
task164,21.598803,30,0,30,ok,267/267,
task166,15.586148,12257,12218,39,ok,266/266,
task166,15.586148,12257,12218,39,ok,266/266,
task167,17.996935,1100,878,222,ok,268/268,
task167,17.996935,1100,878,222,ok,268/268,
task168,15.607338,12000,10675,1325,ok,265/265,
task168,15.607338,12000,10675,1325,ok,265/265,
task169,16.129197,7121,7100,21,ok,266/266,
task169,16.129197,7121,7100,21,ok,266/266,
task170,14.850395,25581,25477,104,ok,266/266,
task170,14.850395,25581,25477,104,ok,266/266,
task171,16.508740,4872,4860,12,ok,54/54,
task171,16.508740,4872,4860,12,ok,54/54,
task172,18.002404,1094,1080,14,ok,267/267,
task172,18.002404,1094,1080,14,ok,267/267,
task173,10.878983,1357312,1356912,400,ok,266/266,
task173,10.878983,1357312,1356912,400,ok,266/266,
task174,14.074457,55578,55439,139,ok,266/266,
task174,14.074457,55578,55439,139,ok,266/266,
task175,13.099590,147327,59016,88311,ok,266/266,
task175,13.099590,147327,59016,88311,ok,266/266,
task176,16.386588,5505,5400,105,ok,25/25,
task176,16.386588,5505,5400,105,ok,25/25,
task177,14.818313,26415,26360,55,ok,265/265,
task177,14.818313,26415,26360,55,ok,265/265,
task178,15.599701,12092,11168,924,ok,268/268,
task178,15.599701,12092,11168,924,ok,268/268,
task179,25.000000,0,0,0,ok,267/267,
task179,25.000000,0,0,0,ok,267/267,
task180,17.781823,1364,1328,36,ok,268/268,
task180,17.781823,1364,1328,36,ok,268/268,
task181,16.293841,6040,5999,41,ok,266/266,
task181,16.293841,6040,5999,41,ok,266/266,
task182,12.956105,170058,168358,1700,ok,267/267,
task182,12.956105,170058,168358,1700,ok,267/267,
task183,15.145545,19043,18442,601,ok,265/265,
task183,15.145545,19043,18442,601,ok,265/265,
task184,13.148497,140295,139357,938,ok,169/169,
task184,13.148497,140295,139357,938,ok,169/169,
task185,13.284942,122401,122328,73,ok,267/267,
task185,13.284942,122401,122328,73,ok,267/267,
task186,19.606372,220,202,18,ok,267/267,
task186,19.606372,220,202,18,ok,267/267,
task187,12.794938,199798,198780,1018,ok,266/266,
task187,12.794938,199798,198780,1018,ok,266/266,
task187_steps15,0.000000,199798,198780,1018,wrong,no task JSON,no task JSON
task187_steps20,0.000000,244798,243780,1018,wrong,no task JSON,no task JSON
task187_steps30,0.000000,334798,333780,1018,wrong,no task JSON,no task JSON
task188,15.281277,16626,16380,246,ok,266/266,
task188,15.281277,16626,16380,246,ok,266/266,
task188_candidate,0.000000,609264,609180,84,wrong,no task JSON,no task JSON
task188_mask,0.000000,16626,16380,246,wrong,no task JSON,no task JSON
task189,16.465360,5088,4876,212,ok,266/266,
task189,16.465360,5088,4876,212,ok,266/266,
task190,15.082018,20292,19866,426,ok,266/266,
task190,15.082018,20292,19866,426,ok,266/266,
task191,12.810845,196645,54584,142061,ok,267/267,
task191,12.810845,196645,54584,142061,ok,267/267,
task192,14.152879,51386,51317,69,ok,265/265,
task192,14.152879,51386,51317,69,ok,265/265,
task193,14.037594,57665,57649,16,ok,266/266,
task193,14.037594,57665,57649,16,ok,266/266,
task194,16.797792,3649,3600,49,ok,266/266,
task194,16.797792,3649,3600,49,ok,266/266,
task195,12.713343,216784,207563,9221,ok,265/265,
task195,12.713343,216784,207563,9221,ok,265/265,
task196,13.155464,139321,139149,172,ok,266/266,
task196,13.155464,139321,139149,172,ok,266/266,
task197,14.701738,29681,29644,37,ok,267/267,
task197,14.701738,29681,29644,37,ok,267/267,
task198,10.431573,2123183,1675738,447445,ok,266/266,
task198,10.431573,2123183,1675738,447445,ok,266/266,
task199,14.623544,32095,31455,640,ok,266/266,
task199,14.623544,32095,31455,640,ok,266/266,
task200,15.610259,11965,11732,233,ok,84/84,
task200,15.610259,11965,11732,233,ok,84/84,
task201,14.686823,30127,14906,15221,ok,266/266,
task201,14.686823,30127,14906,15221,ok,266/266,
task202,14.597496,32942,32916,26,ok,230/230,
task202,14.597496,32942,32916,26,ok,230/230,
task203,14.322569,43366,42040,1326,ok,267/267,
task203,14.322569,43366,42040,1326,ok,267/267,
task204,13.330892,116904,116300,604,ok,268/268,
task204,13.330892,116904,116300,604,ok,268/268,
task205,7.751751,30961325,30679423,281902,ok,266/266,
task205,7.751751,30961325,30679423,281902,ok,266/266,
task206,14.804179,26791,25996,795,ok,266/266,
task206,14.804179,26791,25996,795,ok,266/266,
task207,16.233762,6414,5416,998,ok,265/265,
task207,16.233762,6414,5416,998,ok,265/265,
task208,11.536373,703362,698182,5180,ok,266/266,
task208,11.536373,703362,698182,5180,ok,266/266,
task209,12.443126,284041,42298,241743,ok,266/266,
task209,12.443126,284041,42298,241743,ok,266/266,
task210,18.002404,1094,1080,14,ok,266/266,
task210,18.002404,1094,1080,14,ok,266/266,
task211,17.310629,2185,2160,25,ok,266/266,
task211,17.310629,2185,2160,25,ok,266/266,
task212,15.693078,11014,10868,146,ok,265/265,
task212,15.693078,11014,10868,146,ok,265/265,
task213,15.625926,11779,11736,43,ok,265/265,
task213,15.625926,11779,11736,43,ok,265/265,
task214,17.113167,2662,2634,28,ok,266/266,
task214,17.113167,2662,2634,28,ok,266/266,
task215,14.416451,39480,39425,55,ok,265/265,
task215,14.416451,39480,39425,55,ok,265/265,
task216,11.270284,917783,571966,345817,ok,266/266,
task216,11.270284,917783,571966,345817,ok,266/266,
task217,15.587290,12243,12204,39,ok,266/266,
task217,15.587290,12243,12204,39,ok,266/266,
task218,14.313319,43769,43729,40,ok,266/266,
task218,14.313319,43769,43729,40,ok,266/266,
task219,14.178923,50065,13815,36250,ok,265/265,
task219,14.178923,50065,13815,36250,ok,265/265,
task220,18.186555,910,0,910,ok,267/267,
task220,18.186555,910,0,910,ok,267/267,
task221,13.927209,64395,59960,4435,ok,267/267,
task221,13.927209,64395,59960,4435,ok,267/267,
task222,12.586612,246074,244217,1857,ok,266/266,
task222,12.586612,246074,244217,1857,ok,266/266,
task223,16.783372,3702,3600,102,ok,265/265,
task223,16.783372,3702,3600,102,ok,265/265,
task224,13.662226,83933,81152,2781,ok,266/266,
task224,13.662226,83933,81152,2781,ok,266/266,
task224_direct,0.000000,83933,81152,2781,wrong,no task JSON,no task JSON
task224_mask,0.000000,84953,82172,2781,wrong,no task JSON,no task JSON
task225,14.546630,34661,30180,4481,ok,265/265,
task225,14.546630,34661,30180,4481,ok,265/265,
task226,16.421335,5317,5102,215,ok,133/133,
task226,16.421335,5317,5102,215,ok,133/133,
task227,18.064630,1028,1008,20,ok,267/267,
task227,18.064630,1028,1008,20,ok,267/267,
task228,14.346253,42351,42232,119,ok,266/266,
task228,14.346253,42351,42232,119,ok,266/266,
task229,17.628511,1590,1584,6,ok,267/267,
task229,17.628511,1590,1584,6,ok,267/267,
task230,13.620823,87481,86704,777,ok,266/266,
task230,13.620823,87481,86704,777,ok,266/266,
task231,15.981062,8258,8145,113,ok,266/266,
task231,15.981062,8258,8145,113,ok,266/266,
task232,14.735382,28699,28266,433,ok,266/266,
task232,14.735382,28699,28266,433,ok,266/266,
task233,10.804287,1462580,983770,478810,ok,266/266,
task233,10.804287,1462580,983770,478810,ok,266/266,
task234,9.669040,4551465,4515786,35679,ok,266/266,
task234,9.669040,4551465,4515786,35679,ok,266/266,
task235,18.730904,528,438,90,ok,69/69,
task235,18.730904,528,438,90,ok,69/69,
task236,18.068528,1024,1008,16,ok,267/267,
task236,18.068528,1024,1008,16,ok,267/267,
task236_and,0.000000,1024,1008,16,wrong,no task JSON,no task JSON
task236_b,0.000000,1008,992,16,wrong,no task JSON,no task JSON
task236_not_b,0.000000,1024,1008,16,wrong,no task JSON,no task JSON
task236_not_r,0.000000,1024,1008,16,wrong,no task JSON,no task JSON
task236_or,0.000000,1024,1008,16,wrong,no task JSON,no task JSON
task236_r,0.000000,1008,992,16,wrong,no task JSON,no task JSON
task236_xnor,0.000000,1040,1024,16,wrong,no task JSON,no task JSON
task236_xor,0.000000,1024,1008,16,wrong,no task JSON,no task JSON
task237,14.582941,33425,33321,104,ok,266/266,
task237,14.582941,33425,33321,104,ok,266/266,
task238,13.777454,74798,73108,1690,ok,266/266,
task238,13.777454,74798,73108,1690,ok,266/266,
task239,16.126812,7138,7098,40,ok,267/267,
task239,16.126812,7138,7098,40,ok,267/267,
task240,14.255312,46383,45669,714,ok,266/266,
task240,14.255312,46383,45669,714,ok,266/266,
task241,25.000000,0,0,0,ok,266/266,
task241,25.000000,0,0,0,ok,266/266,
task242,14.667852,30704,29998,706,ok,266/266,
task242,14.667852,30704,29998,706,ok,266/266,
task243,13.297422,120883,120852,31,ok,265/265,
task243,13.297422,120883,120852,31,ok,265/265,
task244,14.273127,45564,44296,1268,ok,266/266,
task244,14.273127,45564,44296,1268,ok,266/266,
task245,15.714645,10779,10434,345,ok,267/267,
task245,15.714645,10779,10434,345,ok,267/267,
task246,14.643083,31474,30640,834,ok,266/266,
task246,14.643083,31474,30640,834,ok,266/266,
task247,16.137516,7062,6909,153,ok,269/269,
task247,16.137516,7062,6909,153,ok,269/269,
task248,15.202373,17991,17908,83,ok,13/13,
task248,15.202373,17991,17908,83,ok,13/13,
task249,15.341966,15647,15610,37,ok,265/265,
task249,15.341966,15647,15610,37,ok,265/265,
task250,0.000000,23495,23244,251,wrong,0/265,0/265
task250,0.000000,23495,23244,251,wrong,0/265,0/265
task251,12.298363,328285,328200,85,ok,266/266,
task251,12.298363,328285,328200,85,ok,266/266,
task252,13.906613,65735,62446,3289,ok,266/266,
task252,13.906613,65735,62446,3289,ok,266/266,
task253,14.713838,29324,29080,244,ok,265/265,
task253,14.713838,29324,29080,244,ok,265/265,
task254,17.314297,2177,2167,10,ok,265/265,
task254,17.314297,2177,2167,10,ok,265/265,
task255,13.526918,96094,88225,7869,ok,265/265,
task255,13.526918,96094,88225,7869,ok,265/265,
task256,16.164499,6874,6827,47,ok,266/266,
task256,16.164499,6874,6827,47,ok,266/266,
task257,17.807818,1329,1296,33,ok,269/269,
task257,17.807818,1329,1296,33,ok,269/269,
task258,19.263428,310,0,310,ok,266/266,
task258,19.263428,310,0,310,ok,266/266,
task259,16.578437,4544,4490,54,ok,266/266,
task259,16.578437,4544,4490,54,ok,266/266,
task260,15.398293,14790,12740,2050,ok,266/266,
task260,15.398293,14790,12740,2050,ok,266/266,
task261,16.423972,5303,5285,18,ok,265/265,
task261,16.423972,5303,5285,18,ok,265/265,
task262,19.716796,197,180,17,ok,11/11,
task262,19.716796,197,180,17,ok,11/11,
task263,15.297650,16356,16209,147,ok,267/267,
task263,15.297650,16356,16209,147,ok,267/267,
task264,13.231386,129135,70712,58423,ok,265/265,
task264,13.231386,129135,70712,58423,ok,265/265,
task265,14.732634,28778,28740,38,ok,266/266,
task265,14.732634,28778,28740,38,ok,266/266,
task266,18.451781,698,600,98,ok,20/20,
task266,18.451781,698,600,98,ok,20/20,
task267,16.869352,3397,3328,69,ok,264/264,
task267,16.869352,3397,3328,69,ok,264/264,
task268,14.980286,22465,22384,81,ok,266/266,
task268,14.980286,22465,22384,81,ok,266/266,
task269,16.384954,5514,5464,50,ok,266/266,
task269,16.384954,5514,5464,50,ok,266/266,
task270,14.774030,27611,27358,253,ok,266/266,
task270,14.774030,27611,27358,253,ok,266/266,
task271,17.226406,2377,1674,703,ok,267/267,
task271,17.226406,2377,1674,703,ok,267/267,
task272,15.797289,9924,9900,24,ok,267/267,
task272,15.797289,9924,9900,24,ok,267/267,
task273,15.179894,18400,16872,1528,ok,266/266,
task273,15.179894,18400,16872,1528,ok,266/266,
task274,17.603051,1631,1026,605,ok,269/269,
task274,17.603051,1631,1026,605,ok,269/269,
task275,14.375920,41113,40594,519,ok,266/266,
task275,14.375920,41113,40594,519,ok,266/266,
task276,22.697415,10,0,10,ok,266/266,
task276,22.697415,10,0,10,ok,266/266,
task277,13.186089,135119,134674,445,ok,266/266,
task277,13.186089,135119,134674,445,ok,266/266,
task278,15.295451,16392,16344,48,ok,265/265,
task278,15.295451,16392,16344,48,ok,265/265,
task279,14.747935,28341,28052,289,ok,266/266,
task279,14.747935,28341,28052,289,ok,266/266,
task280,13.618448,87689,76807,10882,ok,267/267,
task280,13.618448,87689,76807,10882,ok,267/267,
task281,14.282897,45121,45031,90,ok,266/266,
task281,14.282897,45121,45031,90,ok,266/266,
task282,16.706951,3996,3969,27,ok,265/265,
task282,16.706951,3996,3969,27,ok,265/265,
task283,16.652173,4221,4200,21,ok,265/265,
task283,16.652173,4221,4200,21,ok,265/265,
task284,12.703004,219037,218942,95,ok,266/266,
task284,12.703004,219037,218942,95,ok,266/266,
